0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
-0.3931989,-0.6147836,-0.3340959,-0.8614754,-0.3459386,-0.406213,-0.7501479,-0.6316589,-0.4907756,-0.6820256,-0.333148,-0.0178983,-0.3801425,-0.1171841,-0.1365812,-0.7214606,-0.0453554,-0.0031418,-0.1456668,-0.3915949,-0.1293937,0.09420759,-0.0772183,-0.2372419,-0.2746214,-0.3299174,-0.1304739,-0.0856663,-0.2434625,-0.5370706,-0.5838575,0.08973185,-0.1731404,-0.3144526,-0.4868685,0.007109,-0.4211497,-0.3603225,-0.1343381,-0.1678806,-0.0534925,-0.1031516,-0.3815309,0.15050534,-0.2002421,0.13648848,0.10537336,-0.1104165,-0.0546631,-0.3837763,-0.0263177,-0.3685466,-0.0861088,-0.2952987,-0.3778212,-0.0650502,-0.2858296,0.03932066,-0.1578861,0.22323785,0.09133232,-0.0174639,-0.0030253,-0.1345798,-0.1276708,-0.0518814,-0.3641902,-0.1494841,-0.1134164,-0.1062591,-0.379763,-0.1172526,-0.0457093,-0.2418517,-0.3496176,-0.4826528,-0.2572783,-0.3318264,-0.2555718,-0.098175,-0.0963462,0.02274606,-0.0756845,0.01243942,-0.4823143,-0.4520441,0.30992764,-0.3676724,-0.4194207,-0.1791427,0.10792103,-0.3854319,-0.2191861,-0.1474776,-0.3154884,-0.0845119,-0.3028641,-0.1988663,-0.2782941,-0.0547429
-0.085244,-0.5988676,-0.3881218,-0.7941455,-0.5535252,-0.4623636,-1.4291766,-0.6552627,-0.6624372,-1.0610426,-0.2062603,-0.0168891,-0.6172982,-0.3456319,-0.2976565,-0.926513,-0.1110714,-0.0454194,-0.344605,0.01879138,-0.4003541,-0.4798316,-0.0330857,-0.3248221,-0.1821277,-0.3181948,-0.498287,-0.4067092,-0.4252328,-0.4747688,-0.5652523,-0.2606418,-0.3651646,-0.0145779,-0.2672327,-0.1072257,-0.5349211,-0.1360475,-0.4473338,0.08315945,-0.3888957,-0.2252679,-0.7455026,-0.5206324,-0.5690345,0.0469581,0.11096022,-0.3438117,-0.2556996,-0.28716,-0.2771469,-0.0330337,-0.7763058,-0.4161232,-0.2473102,-0.6686761,-0.4462226,-0.257923,-0.3910493,-0.1627026,-0.0250845,-0.122682,-0.1611449,-0.0771667,-0.18625,-0.0941302,-0.121919,0.10994753,-0.0090128,-0.3452058,-0.0737235,0.12015451,-0.3887633,0.02087671,-0.2694008,-0.1595376,-0.0918028,-0.2208288,-0.2864863,-0.1753748,-0.211247,-0.0269601,-0.144362,-0.4006746,0.08077941,-0.2116987,0.21152754,-0.2712298,-0.1676229,0.09500087,0.20102995,-0.1076644,-0.436436,-0.0270141,-0.1984614,0.11170147,-0.2501022,-0.0472802,0.01340053,-0.1629554
-0.726055,-0.9594345,-1.1720561,-0.6718609,-0.779905,-1.0285579,-0.6563788,-1.0987679,-0.7195423,-0.8282817,-0.8740971,-0.5936622,-1.1592025,-0.9250054,-0.6286353,-0.8817284,-0.3776004,-0.5143764,-0.8074711,-0.4800004,-0.7561799,-0.5708519,-1.0292437,-0.6366678,-0.6904933,-0.7516683,-0.9100518,-0.4985534,-0.4011302,-0.9875877,-0.8049108,-0.7317586,-0.9232397,-0.3718502,-0.6763346,-0.8357026,-0.4590563,-0.4215818,-0.9097379,-0.4431356,-0.3975072,-0.387763,-0.6153477,-0.3735744,-0.6774359,-0.5073837,-0.0570923,-0.7186339,-0.716272,-0.9234557,-0.7602809,-0.651721,-0.3799188,-1.0407094,-0.8619505,-0.691611,-0.5702853,-0.6265196,-0.4289798,-0.4375868,-0.7064665,-0.6490721,0.02122276,-0.6378434,-0.375684,-0.7264182,-0.9645669,-0.4439988,-0.6234097,-0.5112796,-0.7610224,-0.4561707,-0.3252939,-0.8431999,-0.981687,-0.2304636,-1.0001468,-0.6426786,-0.7048061,0.18274406,-0.5919053,-0.619971,-0.3066931,-0.7233584,-0.9911139,-0.5865538,-0.8297455,-0.4437198,-0.7525965,-0.752767,-1.0007904,-0.8600903,-0.803055,-0.5081016,-1.2342343,-0.4926071,-1.0773294,-0.7117057,-0.8444394,-1.1537696
-0.7513925,-1.4871128,-1.0221197,-0.630419,-1.033697,-1.0420683,-0.8647977,-0.9554686,-0.9492303,-1.3782589,-0.7809585,-0.6729321,-1.569182,-0.327324,-0.608366,-0.9517926,-0.7364829,-0.8510756,-0.6421373,-0.6221888,-0.8980025,-1.1086765,-0.265836,-0.9665081,-0.7849249,-1.3822783,-0.805638,-0.7786516,-0.7918061,-0.5814686,-1.0058435,-0.7299031,-0.199325,-0.3459928,-0.376769,-0.8381088,-0.7152119,-0.6212747,-0.4500445,-0.2531053,-0.1904078,-0.63692,-1.238306,-0.562097,-0.8887099,-0.3101246,-0.0027437,-0.8922456,-0.5351922,-0.2947574,-0.1544501,-0.715317,-0.5033343,-0.5768399,-0.6561436,-0.7102494,-0.7161285,-0.5806233,-0.2705061,-0.7698118,-0.4482585,-0.0360251,-0.2971427,-0.3013508,-0.3547463,-0.3158771,-0.239509,-0.4182354,-0.6633104,0.00651498,-0.185696,-0.3483259,-0.1797538,-0.2903601,-0.3361277,-0.3155678,-0.0470009,-0.1526128,0.02877463,-0.3751412,-0.0651722,-0.0667279,-0.0266319,-0.1828577,-0.3100783,-0.2130321,-0.196894,-0.2086537,-0.0678907,-0.2895789,-0.2294362,-0.6236545,-0.1312254,0.10269473,-0.1736157,0.24424341,-0.5030547,-0.6028864,-0.844179,-0.2627459
-0.4440879,-0.3023939,-0.7669329,-0.5603267,-0.7603353,-0.8431855,-0.5217386,-0.621256,-0.2612272,-1.3950037,-0.3952727,-0.4152238,-0.2568892,-0.4208634,-0.5569893,0.14777443,-0.17078,-0.3665909,-0.3264015,-0.4573693,-0.6548199,-0.1481651,-0.9312693,-0.3112757,-0.3054308,-0.7854001,-0.4134438,-0.4463606,-0.3591066,-0.1372929,0.25984248,-0.4569751,0.01105721,0.15838017,-0.613129,-0.5950165,-0.300775,-0.7057576,-0.4264516,-0.6057189,-0.2596586,-0.8238935,-0.8663812,-0.2579035,-0.3937033,-0.4707287,-0.1436056,-0.5238796,-0.1863574,-0.2729071,-0.3602136,-0.8054632,-0.2784626,-0.347855,-0.3851095,-0.718011,-0.5130726,-0.49089,-0.3080173,-0.4192758,-0.4130176,-0.0579595,-0.1541596,-0.6612194,-0.2565998,-0.7091188,-0.5466496,-0.1846572,-0.8901392,-0.0358236,-0.1597273,-0.4714103,-0.6860413,0.00429387,-0.0625433,-0.2421183,-0.3071794,-0.2874872,0.01415942,-0.1754635,-0.6006098,-0.76687,-0.2903138,0.33225686,-0.4638056,-0.4200943,-0.2108208,-0.2198931,0.14794945,-0.0476317,-0.1579535,-0.1256546,0.0498826,-0.1180388,-0.0906968,-0.4120771,-0.2759155,-0.4848279,0.04981419,0.05044502
-0.23039,-0.2177637,-0.5354519,-0.3145826,-0.8603535,-0.855095,-0.6125634,0.33781536,-0.0303076,-0.7439783,-0.2359737,-0.3639735,-0.5431691,-0.1954628,-0.2823069,-0.471465,-0.2239452,-0.1200955,-0.409593,-0.0521817,-0.8372005,-0.7218423,-0.3971695,-0.2432442,-0.5315488,-0.9636567,-0.3903032,-0.0353334,-0.5962624,0.03091037,0.13701196,-0.3682748,-0.0037225,0.26810541,-0.3749187,-0.2877462,-0.5131126,-0.1095518,-0.6185964,-0.3749967,-0.5119096,-0.9878982,-0.6640202,-0.352726,-0.2062812,-0.2649268,-0.066793,-0.0663215,-0.4519219,-0.3267713,-0.0475517,-0.5374814,-0.2504522,-0.1449331,-0.4609578,-0.7557719,-0.5797888,-0.2766326,-0.1848583,-0.27606,-0.5706952,-0.0634556,-0.2316742,-0.1777401,-0.0470497,-0.3920446,-0.3938362,-0.24968,-0.4357653,-0.0591608,-0.2825125,-0.1500958,-0.337033,-0.4153933,-0.0547557,-0.200452,-0.1815576,-0.4720102,0.06563831,-0.1818918,-0.1342504,-0.2332225,-0.1101321,-0.1270611,-0.1228874,-0.1795176,0.10741154,-0.2344681,0.08389141,-0.0743879,-0.1557056,-0.3185598,-0.0441344,0.30451708,-0.1579744,-0.2604211,-0.1277063,0.13304529,-0.0262335,0.51924197
-0.5271204,-0.6930969,-0.7471593,-0.606384,-0.7841577,-0.1299808,-0.5492296,-0.009281,0.02958516,-0.7762694,0.08840124,-0.2842457,-0.2940708,0.06269835,-0.3255717,-0.2132963,-0.359469,-0.3630033,-0.2743598,-0.3422052,-0.5560025,-0.3064827,0.0096267,-0.0315883,-0.2368522,-0.3837942,-0.1592591,-0.293618,-0.2924439,-0.1697075,0.26715681,-0.3636885,0.34046386,0.31123006,-0.3922676,-0.2275757,-0.304123,-0.207579,-0.2433555,0.22661022,-0.0521569,-0.7545647,-0.3611416,-0.1172113,-0.2419552,-0.3973021,-0.0596843,0.08485394,-0.033164,-0.132214,-0.3015339,-0.3353904,0.00558819,-0.2124904,0.08453856,-0.5480121,-0.0789804,-0.3204808,-0.1844191,-0.0106436,-0.3641297,-0.2572471,-0.4334353,-0.1196061,-0.0049945,-0.0032982,-0.2427166,-0.0436478,-0.0400874,-0.1511662,0.32332225,-0.2871492,0.01656659,-0.1042495,-0.0074631,0.06537445,-0.1887131,0.03498857,-0.1052523,-0.1522953,-0.2524874,-0.0542729,-0.0059741,-0.1489333,-0.2261255,-0.0873326,-0.3212402,-0.2346236,0.19694553,0.29427236,0.13331959,-0.0497998,-0.2851512,0.03633945,-0.0196529,-0.0221017,0.02638725,-0.3680134,-0.1197332,0.04631485
-0.6603231,0.05973093,-0.0232852,-0.1241514,-0.8831487,-0.5815672,-0.3699713,-0.0778157,0.6750151,0.15853659,0.63449889,-0.9616817,-0.4048518,0.11530121,0.51919653,0.24544357,-0.0787809,-0.0172904,0.19974578,-0.1765807,-0.3319993,0.02729726,-0.5546281,0.10573843,-0.2360374,-0.3321481,0.86533959,0.59247133,-0.289821,-0.21237,0.74500933,2.52090002,0.7437391,0.07132987,-0.5161834,0.25414053,-0.0651632,1.00901548,0.33705975,1.20548363,0.46096366,0.84861715,0.77891182,-0.4182575,1.05122402,0.19070497,0.27452048,-0.8829951,-0.0869587,0.69265694,0.02227784,0.19097837,0.12873467,-0.0636462,-0.4938838,-0.2138161,0.31955368,-0.5449232,0.05435548,-0.0956935,-0.840362,0.03532326,-0.6485348,-0.1741306,-0.3160839,0.31288132,-0.2290796,-0.2020847,1.04897647,-0.311007,-0.603414,-0.1229209,0.05357222,0.08415363,0.00181333,0.1391637,-0.08962,-0.0077986,-0.0088704,0.06839087,-0.0105004,1.3470579,-0.5146109,-0.5616218,-0.2242371,-0.242959,0.40134814,-0.32308,0.18967779,-0.2004859,-0.0491523,-0.0429382,-0.0705836,0.33601171,-0.3233093,0.52469983,0.72555209,-0.1249723,0.30676148,0.33474838
-0.5725895,-0.4545874,-0.1597453,-0.0841468,-0.5424393,-0.3849254,-0.490579,-0.0010431,0.94452987,-0.5209446,1.32201749,-0.6894381,-0.5316846,-0.0363854,0.19644321,-0.6024727,0.09366983,-0.2689107,-0.0430805,-0.1738173,-0.4183309,-0.1715495,-0.3504508,-0.080264,0.27752737,-0.5738575,0.1769006,0.71693631,-0.2788282,-0.0162824,0.63691707,0.9777835,0.91544949,-0.1551723,-0.1586973,-0.0164696,-0.4038434,0.43166961,-0.2438464,1.06875187,-0.2784477,0.36858431,-0.0382084,-0.4345845,0.55159047,0.11555904,0.0600933,-0.6021634,-0.3810103,1.00709881,0.15479289,0.07571283,-0.2616022,-0.0469792,-0.6475451,-0.2678237,0.10712262,-0.3049855,-0.311285,-0.3328357,-0.7405992,-0.3847099,-0.7500257,-0.0038218,-0.0464693,0.27863912,-0.0640101,-0.5131669,0.64140264,-0.4094691,-0.1011844,0.10563632,-0.0109856,-0.187442,-0.0369423,-0.4626238,-0.1161625,-0.3650342,0.17924337,-0.0908544,0.00010006,0.24829883,-0.1754549,-0.5654108,-0.0979285,-0.6154969,0.0730538,-0.1694194,0.01462522,-0.3104404,0.06478527,-0.283188,-0.335632,0.49252882,-0.5125729,0.26724915,0.14574705,-0.0948908,0.42049965,-0.3901678
-0.2706217,0.12628128,-0.2065721,-0.1053374,-0.4095524,-0.1051897,-0.0114335,0.15380145,-0.2905629,-0.6372797,-0.071394,-0.1462187,-0.1509736,-0.059125,0.06170952,-0.2914821,-0.2987737,-0.2861439,-0.1273226,-0.4777612,0.0702371,-0.0691074,-0.0554169,-0.1128647,-0.456306,0.28330565,0.13728436,-0.0501115,-0.4351469,0.08180396,-0.1132436,-0.3324999,-0.2163654,-0.3482193,-0.3661118,-0.2971716,0.05263097,-0.4440976,0.02398634,-0.0033703,-0.2690932,0.19005978,-0.1729949,-0.4748378,-0.4779757,-0.4118541,-0.27628,0.00430827,0.20189714,-0.1118509,-0.1400784,-0.3551422,-0.5239325,0.35090014,-0.39125,-0.1119662,-0.1404535,0.06318706,-0.1858165,-0.3595818,0.20318854,-0.0349758,-0.263168,-0.7588298,-0.3919993,-0.4185187,-0.5020188,0.05719948,-0.0805071,0.36486947,-0.2041721,-0.3570019,-0.5100366,-0.57694,0.25195293,-0.0579473,-0.2032885,-0.5742551,-0.5486279,-0.0059056,-0.2902477,-0.0684609,-0.3594813,0.14861726,-0.5582919,-0.8047055,-0.4938329,-0.2574344,-0.4362977,-0.0498068,-0.0089463,-0.2332976,0.36024462,-0.1942618,0.2501395,-0.4771019,-0.0974415,0.02072865,-0.1987005,-0.1659642
