0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.68363974,-0.3013827,0.16317172,-0.3967802,-0.9055309,-0.1614676,-0.1333386,2.0079387,-0.1982326,-0.5090593,-0.1750124,-0.1832116,-0.160095,-0.1387685,0.18548525,-0.1079371,0.93363512,0.54760138,-0.098606,-0.2115626,0.77985863,0.73262864,0.11189186,0.66125721,0.05126071,1.07496891,0.81230731,-0.0847215,1.25435104,0.11809553,-0.2002575,0.27468224,1.72220379,-0.2253124,-0.2940286,0.27696211,0.60540491,0.11712662,-0.1320281,0.25776128,-0.2580841,-0.0967972,-0.0262101,0.22391544,-0.5919532,0.98974257,0.52844173,0.43782981,-0.2892823,-0.2664306,1.12473237,0.60517312,0.16881411,0.07699034,-0.0220549,-0.4660398,0.56997732,-0.1872141,0.42913936,0.48449545,0.49624839,0.29481284,0.4984382,-0.5224853,0.19768339,-0.0684956,-0.344719,0.234994,1.28963578,-0.1897851,-0.5517041,0.20871327,-0.4480309,0.11987856,0.43182843,-0.5442015,0.40190594,-0.6013551,-0.1681216,0.13821862,-0.1148458,-0.1736273,-0.0868194,0.33460904,0.59974885,0.1473533,-0.3317566,0.4455997,0.04219851,0.48853448,0.59663805,0.01548634,0.37059645,0.30314922,1.41362947,-0.1259377,0.64310038,0.28390356,0.04970215,-0.1520852
0.69480762,-0.1264966,0.16733167,-0.1430702,-1.0450056,0.20322263,-0.2143753,1.02155889,-0.1677057,-0.072937,-0.1325668,-0.2732694,0.1776491,-0.3328812,0.12581743,-0.0075371,0.46034557,0.3978441,0.16253981,0.41146657,0.4798278,0.1836323,0.24093432,0.48628638,0.1533797,0.5935295,0.48828903,0.02602289,0.7012174,0.03670899,-0.3826136,0.18019199,0.99078198,-0.6290207,0.09394341,0.12909317,0.38527395,-0.1445699,-0.5391645,-0.0108947,-0.3769123,0.01480948,-0.2928366,0.16659466,-0.4768198,0.01166578,0.60225789,0.07968932,-0.2803429,-0.1108883,0.88711516,0.17115997,-0.0470531,0.15981288,0.19649053,0.09318868,0.26727533,-0.4072305,0.10431759,0.37615463,0.1243938,0.2406851,0.1887902,-0.2249427,-0.1221759,-0.2985722,-0.4001897,0.07143774,1.3471237,0.14676114,-0.3356193,-0.083623,-0.280337,0.03773134,0.2454174,-0.2289673,0.42333506,-0.4623606,-0.4434316,-0.1396775,-0.1856322,-0.1193269,0.18578345,-0.1048088,0.27237166,0.08692091,-0.3444508,0.17863038,-0.0063162,-0.0136856,0.546872,-0.3600766,0.35750906,0.28601739,1.55916676,-0.0673532,0.66283957,0.13698208,-0.0692425,0.02339786
0.33185611,0.25854103,-0.1132195,0.27053723,-0.6479952,0.22835095,-0.0214226,-0.3115386,0.10361177,0.03197646,-0.0844604,-0.1156539,0.14431375,-0.4109804,0.19491875,0.43809715,0.17424829,0.54281602,0.2863587,0.23129134,0.33931771,0.59538637,0.07858916,0.46830465,-0.0229089,1.11522537,0.53848234,-0.3012595,0.47872069,-0.0064053,-0.3040687,0.24086162,0.58642455,0.17060059,0.17559813,0.13057895,0.16332295,-0.4241829,-0.1566385,0.09261916,-0.3180824,0.28512835,-0.0923306,0.14598003,-0.4947672,-0.2295024,0.00506319,-0.1168559,-0.1157112,-0.1696927,0.30483899,0.2281612,-0.1529349,0.10964237,-0.0922879,0.04838972,-0.0783651,-0.3274539,-0.0936628,-0.0973382,0.08416051,-0.3641049,-0.0584799,-0.2090043,0.48543876,0.10151202,-0.5388766,0.0708247,-0.2339275,-0.2505849,0.04970924,-0.050607,-0.1748158,-0.3614458,0.32861281,-0.0063638,-0.276734,-0.1022721,-0.0105965,0.11205522,0.04393143,0.01876364,0.04575623,-0.1026572,0.02980816,0.08974868,0.0891036,0.1981358,0.20097167,0.08290912,-0.5355059,-0.2686597,-0.120856,-0.2814902,-0.1977815,0.11269135,-0.0092892,0.16964143,-0.04056,-0.0398502
0.51279591,0.01702106,0.43889173,-0.2179135,-0.5129311,0.49339904,-0.1736983,0.47427649,0.21343878,0.35658006,-0.2034418,-0.1620021,0.06503653,-0.069277,0.1999219,0.2176168,0.14774928,0.52428707,-0.0194176,0.0672558,0.14471365,0.69278658,0.00770215,0.7839716,0.17622917,0.23992755,1.04438538,0.19666267,0.19629137,0.02067382,-0.0394354,-0.1739522,0.58871235,-0.2014148,-0.0572696,0.22168253,-0.1140689,-0.0265291,-0.3995411,0.06712603,-0.2888169,-0.5065939,-0.3083997,0.19140426,-0.9050308,0.33482615,0.20713673,-0.0685884,0.21094678,-0.3875597,0.13057357,0.02475464,-0.2110508,-0.2516783,0.03088494,-0.1692329,-0.0367888,-0.235401,-0.1276154,0.70792898,0.13380984,-0.2967347,0.73702704,-0.2402758,-0.3257821,-0.1841405,-0.6824076,-0.3088088,0.01904429,-0.219275,-0.1725125,-0.2397679,0.06578114,-0.4134324,0.36593745,-0.2327199,-0.6330017,-0.6376669,-0.1932991,-0.1373359,0.1771088,-0.1478463,0.1274773,0.52928227,0.20590185,0.01139241,-0.3813068,0.83782269,0.17057003,-0.0037644,-0.0243243,-0.0958538,-0.0062165,0.13561371,0.33441955,-0.048132,0.32685494,0.1082849,0.44903729,-0.1383525
0.50031326,0.02737391,0.09712244,-0.3892421,-0.0632737,0.05871005,-0.1391754,-0.2304373,-0.0383471,-0.1064663,0.0508076,-0.3017502,-0.0094689,-0.4506949,0.02781519,0.07157489,-0.4740499,0.1167067,0.07437738,-0.0325376,0.18691156,0.04005405,0.14672472,0.48487054,-0.0325578,-0.1642695,0.49357283,-0.2835828,0.35193555,-0.0307865,-0.4856907,0.02580549,0.18508052,-0.0449956,-0.0265317,0.27967506,-0.0712477,-0.0356251,-0.59102,0.08569744,-0.3328615,-0.2729205,-0.2191966,-0.4034994,-0.5437085,0.53941898,0.16534293,-0.0522707,-0.1583464,-0.239947,0.31870226,-0.2405437,0.04251157,-0.1777073,0.21029904,-0.1007508,-0.338276,-0.3429218,0.15092678,0.04305161,-0.011131,0.05021994,-0.3107992,-0.1156997,0.46977363,-0.0184805,-0.4965012,0.24887663,0.25424676,-0.0285569,-0.2602692,-0.1558948,-0.2410631,-0.2771664,0.36245069,-0.0836143,-0.3073682,-0.663847,-0.2937721,-0.2499436,-0.1951937,-0.2708374,0.0455561,0.27730841,0.01544362,-0.4286279,-0.1834432,0.46545919,0.23235898,-0.1203768,0.22447765,-0.1642264,0.02814741,0.11682505,0.31878408,-0.1946789,0.17327331,-0.194192,0.13295501,-0.0909088
0.60873275,0.10926059,0.35812763,-0.4544344,-0.4847838,-0.0480963,-0.0011796,0.19567798,0.08387536,0.25454378,-0.0801904,-0.1203754,0.23693008,-0.1249477,0.18517735,0.35037517,0.55898006,0.21654024,-0.1664009,-0.0304555,0.55672996,0.88092505,0.19202147,1.0601282,-0.4471705,0.71518888,1.21044264,-0.019523,0.42008723,-0.195905,-0.1455307,-0.395894,1.25060151,-0.360242,0.07654648,0.44350053,-0.1176634,0.38534379,-0.5527469,0.17304574,-0.338251,-0.1981346,-0.2251145,0.00973042,-0.7071448,0.0254926,0.13908416,0.41668945,-0.3950834,-0.411514,-0.0850268,0.04400446,-0.4358588,-0.2512123,0.12721446,-0.2455527,-0.353325,-0.5876574,-0.0934332,0.70256923,0.03575907,-0.4784074,0.36283472,-0.2921741,0.10828736,-0.0289248,-0.5052711,0.01396044,0.44438156,-0.3392204,-0.4422026,-0.1978406,-0.1340751,-0.3911019,0.88153807,-0.4372079,-0.3847497,-0.366308,-0.6901014,-0.125918,-0.0409024,0.09283501,0.15500429,0.45865829,0.07681291,-0.0550426,-0.4906334,1.14387373,-0.0822776,0.33713793,0.27920077,0.09816087,0.27476557,0.47917418,0.54526305,0.29114925,0.46300401,-0.3427321,0.04511361,0.30784312
0.83076629,-0.2338817,-0.1936227,-0.5952388,-0.4703479,0.0395882,-0.1923596,0.22555045,0.7534558,0.13746448,-0.2023186,-0.2336594,0.17114502,0.08543718,0.12537078,0.43468774,0.1308747,0.85470676,0.04596325,-0.2515466,0.47379297,0.84405132,0.11129144,0.84369499,0.06333487,0.15333459,2.65822005,0.03196068,0.29634324,0.09499672,-0.23482,0.07856133,0.657107,-0.0719945,-0.3645863,0.26378536,-0.0891172,-0.2363623,-0.5613283,0.29099809,-0.130581,-0.1712776,-0.2481179,-0.1187744,-0.871244,0.37137116,0.32420163,0.12544228,-0.54779,-0.3108629,-0.0623911,-0.0339982,0.05549655,-0.3286344,0.36406438,-0.1348736,-0.2417391,-0.1614856,0.10086078,0.23839684,0.12589497,-0.0323327,0.24014185,-0.3549469,0.0590762,0.02389207,-0.1829735,-0.2312072,-0.1380198,-0.3120824,-0.296101,0.45495508,0.05941527,-0.3289951,0.09618494,-0.1741138,-0.8020833,-0.3845502,-0.1480499,-0.1596274,-0.0948454,-0.0814849,-0.0927239,-0.024745,0.34555681,0.25030141,-0.4117607,0.32774863,-0.0624188,0.280969,0.04797242,-0.1416794,0.23530865,-0.3318579,0.3708748,-0.044849,-0.2644665,0.27278946,0.06200684,-0.2156398
0.5799993,-0.3222542,0.2364925,-0.247318,-0.692039,0.33159191,-0.21702,1.01191669,0.77737787,-0.0011584,0.24622981,-0.0669195,0.10853195,-0.0173479,0.89108473,0.01498227,0.34131985,0.74725027,0.32823883,0.00212064,1.17256085,0.25301589,-0.2282975,0.80002872,-0.2335838,1.00466632,1.02752162,-0.1233975,0.83160492,-0.2305661,-0.3571021,-0.0367282,1.25415625,-0.2650046,0.04849614,0.18752355,0.38215817,-0.0059434,-0.3626476,-0.1157914,-0.2127145,0.07062104,-0.1811253,0.72686254,-0.2884191,0.51975883,0.71654348,0.17877835,-0.3546605,-0.3013173,0.25451707,0.73692476,0.06030196,-0.0547509,0.12830938,0.23770329,0.76497624,-0.2024066,0.14020577,0.85817993,0.34027638,0.6065488,0.4969229,-0.5224811,-0.0377687,-0.1133062,-0.1436205,-0.0542908,1.13373842,-0.1959421,-0.0275616,0.03136402,0.07269957,0.03655054,0.38418565,-0.1077409,-0.5000046,-0.6069287,-0.2044736,-0.4319865,-0.3235224,-0.45592,-0.0975178,0.25643582,-0.1330115,0.27401514,-0.2676177,0.32668222,0.27067101,-0.0104652,0.40682233,-0.2139716,0.23183409,0.00585717,1.68020274,-0.2635282,2.06435426,0.3184976,-0.1115868,-0.1231175
0.5841505,-0.2631925,0.11189742,-0.2840444,-0.9412041,0.2362384,-0.2837696,0.83669232,0.56967755,-0.2182979,0.24080826,0.06321031,0.41804211,-0.3730248,0.55301037,0.35814088,0.60821096,0.42399715,0.43006848,0.06656551,1.26164381,0.54786297,-0.1269445,0.97138777,0.25687634,1.06338496,0.80759719,0.04979772,1.10453027,0.01069115,0.23341906,-0.1842495,1.13807666,-0.0686194,0.10109276,0.20400943,0.25859732,0.07945789,0.00475264,0.09726623,-0.3731472,0.31470818,-0.279871,0.42105237,-0.3362626,0.42896769,0.62499007,0.1837239,-0.2347201,-0.1574906,0.41867051,0.14298763,0.0954486,0.29801114,-0.0209348,0.1016438,0.0812559,-0.2396997,0.18289737,0.67079374,0.178276,-0.13934,0.55036672,-0.4352359,0.37762731,0.28586839,-0.1109459,0.10520066,0.71854242,-0.0191634,-0.1311527,-0.161474,-0.1219756,-0.3230553,0.88956446,-0.4047772,-0.1401167,-0.3072372,-0.1730307,0.0238731,-0.5819486,-0.1216186,0.01001659,-0.0142427,0.15076056,0.06595099,-0.4016697,0.22956579,-0.0433992,0.10408495,0.18227964,-0.1398834,0.31976477,-0.0794158,1.17849112,-0.1520652,0.66008429,0.01309226,0.32895704,0.0877969
0.31273745,0.066338,0.11217952,-0.0755329,-0.0138158,0.09981655,-0.3649051,-0.2277063,-0.1643416,-0.1043443,-0.1236857,0.03305995,-0.1328738,-0.1403018,0.29299234,-0.0815569,0.21107613,-0.0070294,0.10637586,-0.0606221,0.18500514,0.16205791,-0.1877726,0.25529294,-0.1031299,0.264383,0.42701865,-0.2408674,-0.1639488,0.24230902,-0.4914742,0.10983093,0.22837381,0.28485831,0.07350706,0.10865733,-0.0045741,0.22942282,0.02551379,0.02160258,-0.0484844,-0.1130224,-0.0740402,0.01132404,-0.4517092,-0.0995846,0.09548305,-0.1254089,0.17718742,-0.1564676,-0.0301296,-0.0017987,-0.0656891,0.14012342,0.12695026,-0.0785359,-0.0691228,-0.1963063,-0.1162455,0.00421455,0.28560539,0.10874331,-0.0600213,0.08687798,0.27704013,-0.1288374,0.15750709,0.42286824,0.10659763,0.18776234,-0.1340876,-0.131246,0.30208087,-0.6107118,0.4153655,-0.0693927,-0.2816868,0.02593181,-0.139296,-0.1372275,0.0187327,0.36495345,0.27650302,0.11631468,0.03114815,-0.1799549,-0.1220858,-0.1135218,-0.0626568,0.03298013,0.08064052,-0.1691508,-0.2536848,-0.057598,0.2233005,-0.2411223,-0.209833,0.0073754,0.14736353,0.12825345
