0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
-0.2426494,-0.1284416,-0.0343546,-0.449064,-0.2031717,-0.4254452,-0.2951689,-0.5257278,-0.2876853,-0.3291796,-0.4537442,-0.4527547,-0.5475361,-0.3797956,0.01547571,-0.2227357,-0.2368686,-0.7159337,-0.134985,-0.1704212,0.10385447,-0.1225919,-0.3159625,-0.2589799,0.0378781,-0.1037757,-0.4070262,-0.4292025,-0.4006662,-0.3127679,-0.0906835,0.03222218,0.3506898,-0.1323071,-0.0951235,-0.202841,-0.4985482,-0.187757,-0.247144,-0.0876659,-0.6365371,-0.1648712,-0.6061393,0.1033468,-0.2629333,-0.4188499,-0.078008,-0.1803369,-0.1722111,-0.5648926,-0.1599237,-1.0585006,-0.3365869,-0.6904101,-0.7583881,-0.4929017,-0.183279,-0.8301519,-0.5223972,-0.4402422,-0.8352011,-0.3251184,-0.3746566,-0.3822311,-0.5449207,-0.4733727,-0.2660202,-0.403285,-0.3688537,-0.1954065,-0.2363325,-0.2508024,-0.4380653,-0.1731523,-0.9869168,-0.80647,-0.352487,-0.5645789,-0.6617962,-0.4976588,-0.3384646,-0.5171123,-0.707656,-0.2693238,-0.3695154,-0.1483036,-0.1411412,-0.6212955,-0.1297639,-0.4770898,-0.4190994,-0.4882447,-0.442707,-0.510448,-0.288982,0.19582867,-0.1134555,-0.3210405,0.01855815,-0.6073871
-0.0895041,-0.0376799,-0.2921254,-0.5476453,-0.2059164,-0.2272845,0.30707943,-0.2302059,-0.338513,0.24861548,0.40612379,-0.9203366,0.51625139,-0.5656772,0.37481793,0.31962269,-0.3907471,-0.63254,0.17343364,0.78575677,0.69487579,0.42206441,0.11033734,-0.7945372,0.20910269,0.77379231,-0.4749076,-0.3448497,0.38523814,-0.6147807,0.30652419,0.70243685,0.50246664,-0.3555027,-0.3171738,-0.3978125,-0.6694993,-0.5780178,-0.5710993,-0.6035573,-0.1844082,-0.1018296,-0.4227662,-0.7384658,-0.5588333,-0.5559162,-0.2078996,0.07794616,-0.5132744,-0.9826868,-0.4759904,-0.7663606,-0.861319,-1.1440969,-0.5143966,-0.3417176,-0.1590267,-1.2725682,-0.4267228,-0.0877007,-1.0673518,-0.4189406,-0.5264998,-0.6811696,-1.0763123,-0.4730552,-0.8409491,-0.5899952,-0.850717,-0.180216,-0.6068418,-0.6829978,-1.2132867,-0.3150649,-0.9105936,-0.390394,0.0084999,-0.5288343,-0.8931272,-0.8838755,-0.7905307,-0.622731,-0.6605742,0.03159185,-0.4095911,-0.1648848,-0.219385,-0.6950085,1.04735103,-0.503082,-1.283179,-0.5380785,-1.2233921,-0.9732016,0.22034583,1.01626618,0.70459021,-0.3043073,0.21360992,-0.5215238
0.08354622,-0.2467688,-0.3547143,-0.6021687,-0.2629967,-0.4226752,0.20208827,-0.2922822,-0.0113288,0.11753893,0.06757766,-0.98136,0.14786198,-0.674735,0.35652345,0.00520244,-0.1870285,-0.7022376,-0.0824365,0.07125041,0.41948216,0.18945195,-0.0540588,-0.6382828,-0.0544952,0.32095684,-0.5838265,-0.3712637,0.30417238,-0.6493048,0.37763426,0.58300817,0.52680313,-0.5408219,-0.402864,-0.1385928,-0.7624693,-0.4507281,-0.4128923,-0.260109,-0.2356123,-0.3636179,-0.5264041,-1.0345836,-0.5866858,-0.8132938,-0.5856363,-0.2999865,-0.4630455,-1.1995968,-0.289472,-1.0353182,-1.1816318,-1.1091292,-0.6564912,-0.5935804,-0.3017386,-1.511946,-0.3278169,0.06953119,-1.034218,-0.3665293,-0.7996111,-0.7662279,-1.0914464,-0.7709357,-0.9668617,-0.5654275,-0.6329688,-0.1560949,-0.5995642,-0.5752521,-0.7961277,-0.2412922,-0.8118939,-0.4332552,-0.0710246,-0.5886574,-1.0624599,-0.5912124,-0.9791383,-0.7870642,-0.736641,-0.1487571,-0.5391627,-0.1008191,-0.500443,-0.8531265,1.02119803,-0.4464273,-1.7376604,-0.5758162,-1.2645725,-0.9546679,0.0456964,1.14116942,0.88611488,-0.501254,0.07428893,-0.5724947
2.21278822,0.30743418,0.00392125,1.13016042,0.159132,-0.5738949,4.07119576,1.15072842,-0.2665662,0.40956224,0.91390884,-0.7916045,2.24220482,-0.6571015,-0.4365631,1.36907195,0.22291131,-1.3530712,-0.0390412,0.51859983,1.11206582,1.18872153,0.07595737,-1.1576629,0.05858296,1.1971685,-0.3896929,-0.1331378,1.21815566,-0.9420157,0.28192188,0.11203849,0.08934589,-0.305037,-0.2866828,-0.1905935,-0.8829482,-0.7678406,-0.4394534,-0.8222746,0.54168989,-0.5516609,-0.3254862,-1.1357449,-0.8381627,-1.4089891,-0.3093383,0.00747031,-0.7123434,-1.9321628,-0.5225517,-0.5756325,-1.5844424,-1.0663656,-1.2188069,-0.2825696,-0.2358848,-1.7688863,-0.6282306,0.21421175,-1.2207202,-0.5097403,-1.7822646,-0.6638994,-1.2122817,-1.1313917,-1.1855447,-1.1297089,-0.5735969,-0.4761952,-0.9428069,-1.224007,-1.747151,-1.0081727,-1.1526045,0.08682142,-0.1316386,-0.3290691,-1.5361605,-1.2333069,-1.6929049,-0.6515329,-1.0702955,-0.0510159,-0.637981,-0.1841928,-0.4690039,-1.3374982,1.20790367,-0.7598715,-2.3732376,-0.9830513,-1.5483274,-0.9392602,0.27827061,0.35628848,0.43828789,-0.6568675,0.02223843,0.12995035
2.29473838,0.43220757,-0.076581,1.90236001,-0.0918806,-0.601851,2.44091329,-0.066235,-0.2756237,0.41244961,0.72251751,-0.8088009,1.33639191,-0.4311117,-0.3905385,0.98972708,0.00927418,-1.336207,0.04475163,0.08990756,0.64460075,1.17668234,0.1051144,-0.9278204,-0.206838,0.79999203,-0.835664,-0.3823222,1.21841436,-1.0953319,0.39613598,-0.2913854,-0.1311757,-0.3189724,-0.2613481,-0.6587757,-1.0716535,-0.8277613,-0.5609338,-1.0915947,0.48747453,-0.3556389,-0.1350518,-1.1618904,-0.9347975,-1.1292594,-0.395752,-0.2353503,-0.5048201,-2.3905521,-0.6437474,-0.7041265,-2.1622611,-0.8848855,-0.9981775,-0.4422226,-0.4140919,-1.7290748,-0.3368451,-0.1345644,-1.2618297,-0.3543707,-1.6703417,-1.0192684,-1.1798963,-1.1422665,-1.6232545,-1.4040293,-0.4227672,-0.3571879,-0.9847628,-1.3566079,-1.7962052,-1.3460424,-1.3260601,0.11653201,-0.0777805,-0.3685166,-1.7788229,-1.3457353,-1.5153822,-0.4052307,-1.1861936,-0.0640287,-0.3718566,-0.2217085,-0.3919903,-1.8203203,1.01336337,-1.024135,-1.9176376,-0.8181497,-1.2564494,-0.8602415,0.41748845,0.70913884,0.72659483,-0.335217,-0.223909,0.04361636
3.67133121,0.25274684,-0.1278062,1.85303897,-0.0125802,-0.2062554,4.24360259,1.83405911,-0.404739,0.50539818,0.87451357,-0.8970719,2.03029383,-0.6605653,-0.1452593,1.83099976,-0.2655042,-1.7027516,-0.3715835,0.26998671,0.85125198,1.17950416,-0.090575,-1.1520942,-0.2873715,1.98828789,-0.7481187,-0.5336027,1.02560839,-1.1643544,0.30979552,-0.2936235,0.15330239,-0.6322972,-0.573563,-1.1888711,-1.2822835,-0.8519883,-0.810502,-1.426624,0.3471248,-0.4630341,-0.1561565,-1.1373409,-1.2799722,-1.2793084,-0.6854471,-0.1739741,-0.5232677,-1.6253867,-0.6304159,-0.6479307,-2.2421061,-1.1525847,-1.2255175,-0.4284254,-0.5358726,-1.7078106,-0.4718821,-0.4912469,-1.2990776,-0.2807182,-1.3885171,-1.0866131,-1.1995295,-1.4025441,-1.6183008,-1.2285787,-0.6320076,-0.4730779,-1.31684,-1.4993169,-1.7495123,-1.0521928,-1.5532532,0.10596906,-0.1790777,-0.5975086,-2.1634961,-1.3359993,-1.707303,-0.4574337,-1.3301523,-0.2438702,-0.0060975,-0.1675669,-0.5125586,-1.6913183,0.85548748,-1.1257799,-2.0864719,-0.9821273,-1.3456171,-0.9759009,0.30544479,0.52226355,0.59901586,-0.214571,0.02082996,0.12560722
0.16986166,0.19609803,-0.1821646,-0.0913531,-0.2967376,-0.6808966,1.30669239,0.18292463,-0.5165363,0.01137863,0.5761607,-0.8425733,0.40700514,-0.5405253,-0.1415317,0.63892867,-0.5619091,-1.2971298,-0.0579277,0.80996862,0.79757434,0.37742924,-0.3407473,-0.9758897,-0.2667202,0.79467582,-0.8234579,-0.4474474,0.34343131,-0.6351093,0.80001156,-0.450131,0.44276614,-0.665519,-0.62453,-1.2110173,-1.1221772,-0.3801669,-0.7003635,-1.0173589,-0.0333358,-0.7439494,-0.4045513,-1.1103878,-0.9172609,-1.0911171,-0.5211257,-0.4518192,-0.8100661,-1.3571973,-0.6768977,-0.9784102,-1.7115149,-0.6804368,-1.0370885,-0.9826783,-0.4087548,-1.4407363,-0.6962829,-0.4039371,-1.4151232,-0.4356876,-1.3704793,-0.9697568,-1.2061027,-1.0053356,-1.221297,-1.1573937,-0.7996816,-0.5335499,-1.0613117,-1.0592054,-1.3320153,-0.7935581,-1.0630806,-0.243416,-0.2223902,-0.8148036,-1.7325514,-0.8680589,-1.4208651,-0.6643246,-1.1444054,-0.103926,-0.1120794,-0.2781469,-0.7026832,-1.2194614,0.53830376,-0.5532661,-1.5482102,-0.7050831,-1.0207632,-0.9233354,-0.0116819,0.66674787,0.91696001,-0.192489,-0.1074061,-0.058767
0.47944151,0.29247887,-0.4188907,0.74556968,-0.6795288,-0.5327437,1.1363445,1.96980881,-0.4373757,0.03622059,0.77820502,-0.8148954,1.08633533,-0.3021001,0.02594342,0.76979751,-0.4408087,-1.5555156,-0.2639869,0.76104006,0.77105842,0.20947307,-0.2198758,-1.3898518,0.09162603,0.56220542,-1.1326811,-0.6003822,-0.0774484,-0.7560535,0.18779594,-0.1260328,0.3821781,-0.5283401,-0.6877594,-0.8975177,-0.662374,-1.0380744,-0.6811799,-0.9202173,-0.4544056,-0.8810654,-0.8773999,-1.0309414,-0.4526992,-1.4588786,-0.6637699,-0.2264983,-0.808837,-1.5670356,-0.4400529,-1.1008554,-1.5760118,-0.9166198,-1.8974637,-0.7363025,-0.3119729,-1.1514106,-0.6962828,-0.9001101,-1.7202251,-0.6080483,-1.8907207,-1.2031504,-1.2133429,-1.3364431,-1.3153536,-0.9897279,-0.3822685,-0.1986336,-1.2103869,-1.0978519,-0.6831851,-0.4993606,-1.0147768,-0.1770026,-0.4000643,-0.6268732,-1.3903101,-0.9106213,-1.0978348,-0.6471182,-0.9356447,-0.1934522,0.26772159,-0.3433103,-0.4000686,-1.2361896,0.3492709,-0.7670227,-1.0512838,-0.5637529,-0.7731684,-0.986517,0.10738254,0.18500239,0.22110339,-0.2508272,-0.0634009,-0.1463679
1.47028677,0.25343739,-0.0941066,2.2949059,-0.4499909,0.3201715,2.86018729,3.60562196,-0.3161522,0.3677841,1.0500766,-0.8020554,2.37078726,-0.2270244,0.04468092,1.43372775,-0.3537043,-1.1881065,-0.3830715,0.67640296,0.83465475,0.77572541,-0.0350652,-1.0742396,-0.3525081,1.60053102,-1.2187067,-0.4452406,0.06960359,-0.5833133,-0.1867372,0.14246818,0.22183532,-0.4727252,-0.6562734,0.56700555,-0.5966617,-1.0768351,-0.6373437,-0.4379595,-0.2712827,-0.447383,-0.5824062,-1.0415649,0.1720347,-1.4234096,-0.5803301,0.3153561,-0.5137855,-1.3337988,-0.368792,-0.5486191,-0.9946821,-0.5802237,-1.5483093,-0.5819462,-0.6366333,-0.8505671,-0.6610018,-0.3208153,-1.2884265,-0.8029244,-1.2552617,-0.9747914,-1.0610311,-1.3800287,-0.8830467,-0.8908056,0.4329832,-0.0138983,-1.2713283,-0.6283617,-0.3811437,-0.9244988,-0.7542653,-0.0042392,-0.0142877,-0.6717517,-1.2972734,-0.7836506,-0.9899758,-0.3692293,-0.6996074,-0.0310372,-0.0474144,-0.333176,-0.2334989,-1.0316863,0.59379954,-0.722983,-1.1844653,-0.3174217,-0.7039204,-1.0093429,-0.0305465,0.7797692,0.53476357,-0.1749147,-0.0831726,-0.2995527
1.12822251,0.25831401,0.20325341,1.61085082,0.05070718,0.18159081,3.26744046,3.89195241,-0.1024733,0.64164148,1.1895264,-0.6162776,2.16164729,0.04777998,0.13448373,1.43962012,-0.3567165,-1.0184804,-0.180201,0.63212662,0.8595567,0.5480014,0.07840716,-0.8752971,-3.18E-05,1.34388712,-0.6104693,0.0945834,0.13759439,-0.1632757,0.57866275,0.07685836,-0.0914179,-0.0794189,-0.2518179,0.13000155,-0.5662654,-0.4688125,-0.2745023,-0.2995348,0.08397637,-0.3010687,-0.6067772,-0.9686011,0.22404144,-0.9994157,0.03354985,0.0272537,-0.366005,-1.3195467,-0.0768342,-0.2667592,-0.9891725,-0.2009752,-1.1373194,-0.2828018,0.06507496,-0.6444672,-0.4373014,0.04338015,-1.0730433,-0.239086,-1.235517,-0.458376,-0.5815173,-0.6478939,-0.4417926,-0.8077298,-0.1798107,-0.5383117,-0.8122742,-0.854286,-0.3115221,-0.6286696,-0.6974072,-0.0899355,-0.3787941,-0.2172771,-0.9511263,-1.1891101,-0.9608732,-0.5389284,-0.4564658,0.05694775,0.10208765,0.09393855,-0.0638901,-0.765623,0.5787733,-0.1841812,-0.7957537,0.09719119,-0.5103076,-0.2694384,-0.1205348,0.32483093,0.22213704,-0.173286,0.32623809,0.21238998
